language	Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Homepage_URL
Indian Corpus	citing_context	continuous Indian Sign Language dataset	https://doi.org/10.1145/3610661.3616550 (2023)	https://doi.org/10.21437/interspeech.2021-1094 (2021)	The continuous Indian Sign Language dataset is used to train and evaluate models for automatic speech-to-sign language generation. Research focuses on translating spoken words into sign language gestures, assessing accuracy, fluency, and the importance of prosody and facial action units. Models are compared using metrics like DTW and Probability of Correct Keypoints scores, emphasizing the dataset's role in advancing sign language generation methods.	
Indian Corpus	cited_context	Corpora Collection at Leipzig University	https://doi.org/10.48550/arXiv.2205.03983 (2022)	https://doi.org/10.18653/v1/2020.emnlp-main.480 (2019)	The Corpora Collection at Leipzig University is used to provide large-scale multilingual text corpora, including Indian languages, for cross-lingual research and natural language processing (NLP) tasks. It facilitates the creation of aligned web pages, Wikipedia articles, and parallel web-document pairs, enabling machine translation, training, and evaluation of language models. The dataset supports diverse and extensive language resources, enhancing multilingual NLP applications and linguistic research.	
Indian Corpus	cited_context	Corpus Asm	https://doi.org/10.3115/1667583.1667595 (2009)	https://doi.org/10.1145/1386869.1386871 (2008)	The Corpus Asm dataset is used to train and test a morphological tagger for Assamese, focusing on genre consistency within corpora derived from the same daily newspaper. It is also utilized to acquire and analyze the morphology of the Assamese language from a large text corpus of nearly 300,000 words, specifically from the Assamese daily Asomiya Pratidin. This dataset enables detailed morphological analysis and the development of linguistic tools for Assamese.	
Indian Corpus	cited_context	Cross-Script Code-Mixed Question Answering Corpus	https://doi.org/10.1007/978-3-319-73606-8_3 (2016)	https://www.semanticscholar.org/paper/1430bef50f67c743406f3dd909398931b0178508 (2016)	The Cross-Script Code-Mixed Question Answering Corpus is used to prepare datasets and evaluate research in code-mixed cross-script question answering, particularly for English–Bengali interactions. It focuses on the unique challenges of mixed-script queries in the sports and tourism domains, addressing multilingual and multilingual language processing challenges. This dataset enables researchers to study and develop methods for handling code-mixed data, enhancing the performance of question answering systems in diverse linguistic contexts.	
Indian Corpus	citing_context	CrossSum	https://doi.org/10.48550/arXiv.2310.18600 (2023)	https://doi.org/10.18653/v1/2023.acl-long.143 (2021)	The CrossSum dataset is used as a benchmark for multilingual and cross-lingual abstractive summarization, evaluating models' performance across over 1,500 language pairs, including Indian languages. It contains 1.7M article-summary samples, enabling researchers to develop and test summarization models that extend beyond English-centric approaches, focusing on generating accurate summaries in multiple languages.	
Indian Corpus	citing_context	Crowdsourced high-quality Tamil multi-speaker speech data set	https://doi.org/10.1109/ICACCS57279.2023.10112880 (2023)	https://www.semanticscholar.org/paper/c5ccc4128f8746a765bdd4478f9b63893b5e6bb6 (2020)	The Crowdsourced high-quality Tamil multi-speaker speech data set is used to train speech synthesis and recognition systems, enhancing model robustness and accuracy. It supports deep learning models for speech-to-text translation, specifically improving Tamil speech recognition. The multi-speaker nature of the dataset aids in developing more generalized and accurate models.	
Indian Corpus	citing_context	CrowS-Pairs	https://doi.org/10.1145/3677525.3678666 (2023), https://doi.org/10.48550/arXiv.2403.20147 (2024)	https://doi.org/10.18653/v1/2020.emnlp-main.154 (2020)	The CrowS-Pairs dataset is used to measure and address social biases in language models, particularly focusing on religion and caste categories. It is employed to create sentence pairs that help assess biases in masked language models. Additionally, it is used in conjunction with another dataset to compare US-centric biases related to race and gender with biases in Indian languages. This dataset enables researchers to quantitatively evaluate and understand the nature of biases in different cultural contexts.	
Indian Corpus	citing_context	CST5	https://doi.org/10.48550/arXiv.2304.13005 (2023)	https://doi.org/10.48550/arXiv.2211.07514 (2022)	The CST5 dataset is used for code-switched semantic parsing tasks, specifically focusing on Hindi-English utterances. It enhances data augmentation techniques by providing a rich set of code-switched examples, which improves the performance and robustness of natural language processing models in understanding and parsing mixed-language inputs.	
Indian Corpus	citing_context	custom dataset of 1500 questions over Wikipedia and news articles	https://doi.org/10.48550/arXiv.2309.15779 (2023)	https://doi.org/10.1109/iccica52458.2021.9697268 (2021)	The custom dataset of 1500 questions over Wikipedia and news articles is used to fine-tune Multilingual BERT for a Marathi language question answering system. This dataset focuses on enhancing performance in low-resource languages by providing a diverse set of questions, enabling researchers to improve the model's accuracy and robustness in understanding and answering queries in Marathi.	
Indian Corpus	citing_context	cvit	https://doi.org/10.48550/arXiv.2212.10180 (2022)	https://doi.org/10.18653/v1/D19-5215 (2019)	The cvit dataset is used to evaluate machine translation systems, particularly for Indian languages, in the context of the WAT-2019 competition. It focuses on assessing the performance and accuracy of these systems, providing a benchmark for comparing different translation models. The dataset's relevance lies in its specific application to Indian languages, enabling researchers to address the unique challenges and nuances of these languages in machine translation tasks.	
Indian Corpus	cited_context	Dakshina test set	https://doi.org/10.48550/arXiv.2305.15814 (2023), https://doi.org/10.48550/arXiv.2205.03018 (2022), https://doi.org/10.18653/v1/2023.findings-emnlp.4 (2022)	https://www.semanticscholar.org/paper/c1601b8b7a60fe4e8fa121a7cf2acd9ec4a8043c (2020)	The Dakshina test set is used to evaluate and improve transliteration, normalization, and machine translation systems for Indian languages, particularly those written in the Latin script. It supports linguistic analysis, script conversion, and cross-lingual tasks, including named entity recognition, information retrieval, and parallel text analysis. The dataset encompasses multiple Indian languages and scripts, enabling researchers to focus on accuracy, cross-lingual alignment, and domain-specific vocabulary. It highlights issues such as limited language coverage and ambiguous named entities, and is used to enhance cross-script communication and document relevance in information retrieval systems.	
Indian Corpus	cited_context | citing_context	Dakshina Dataset	https://doi.org/10.18653/v1/2023.findings-emnlp.4 (2022), https://www.semanticscholar.org/paper/96afd5a4bcf814fc9db32b1fd0324c3dbb63ed61 (2021)	https://www.semanticscholar.org/paper/c45d9d930543934efef0b7501596c5effd1857dd (2010), https://www.semanticscholar.org/paper/c1601b8b7a60fe4e8fa121a7cf2acd9ec4a8043c (2020)	The Dakshina Dataset is used in research to process South Asian languages written in the Latin script, primarily for transliteration tasks. Researchers employ this dataset to evaluate the effectiveness of various transliteration methods, focusing on accuracy and performance. The dataset's relevance lies in its ability to support the development and testing of algorithms designed to handle the complexities of South Asian languages in the Latin script.; The Dakshina Dataset is used for processing South Asian languages written in the Latin script, specifically focusing on transliteration and cross-script processing. It contains 10,000 sentence pairs for 12 Indian languages, enabling researchers to address tasks such as transliteration and normalization. This dataset facilitates the development and evaluation of algorithms for handling linguistic data across different scripts, enhancing the accuracy and efficiency of language processing systems.	
Indian Corpus	citing_context	dataset	https://doi.org/10.11591/EEI.V10I5.3173 (2021)		The dataset is used to compile a multilingual corpus encompassing 9 Indian languages, specifically 5 Indo-Aryan and 4 Dravidian languages. It supports linguistic and computational analysis, enabling researchers to explore language structure, evolution, and computational processing across these diverse linguistic families. The dataset's comprehensive coverage of multiple Indian languages facilitates comparative studies and the development of language-specific computational tools.	
Indian Corpus	cited_context	DeitY Datasets	https://www.semanticscholar.org/paper/c5ccc4128f8746a765bdd4478f9b63893b5e6bb6 (2020)	https://www.semanticscholar.org/paper/1d480a2ae449ee625aa543610ed2574e3c87643e (2016)	The DeitY Datasets are used to provide resources for Indian languages, supporting linguistic research and development efforts in India. These datasets enable researchers to conduct studies focused on the linguistic characteristics and development of Indian languages, facilitating the creation of language-specific tools and resources.	
Indian Corpus	cited_context	corpus described in Arivazhagan et al. (2019)	https://doi.org/10.48550/arXiv.2205.03983 (2022)	https://www.semanticscholar.org/paper/c17985a669522e7e85ae3d34754c7df49c7187d1 (2019)	The corpus described in Arivazhagan et al. (2019) is extended to include 25 billion sentence pairs across 112 languages. It is primarily used for massively multilingual neural machine translation, enhancing the coverage and diversity of language pairs. This dataset enables researchers to develop more robust and inclusive translation models by providing a vast and varied linguistic resource.	
Indian Corpus	cited_context	Devanagari script recognition data resources	https://doi.org/10.1109/TSMCC.2010.2095841 (2011)	https://doi.org/10.1109/RIDE.2003.1249846 (2003)	The Devanagari script recognition data resources are used to develop and assess recognition systems, specifically focusing on character-level accuracy and performance in recognizing mixed numerals. This dataset enables researchers to evaluate the effectiveness of their models in accurately identifying Devanagari characters and numerals, contributing to advancements in optical character recognition technology for this script.	
Indian Corpus	citing_context	document summary pairs from printed NCTB books	https://www.semanticscholar.org/paper/693e0ff7b621e4d6d7a5e1738be13021214248ca (2022)	https://doi.org/10.18653/v1/2021.eacl-main.224 (2021)	The dataset of document summary pairs from printed NCTB books is used for unsupervised abstractive summarization of Bengali text documents. Researchers focus on generating concise summaries from these printed books, leveraging the dataset to develop and refine summarization models. Despite its non-public availability, the dataset enables advancements in natural language processing for Bengali, specifically in the domain of educational texts.	
Indian Corpus	citing_context	DOSA	https://doi.org/10.48550/arXiv.2506.15355 (2025)	https://doi.org/10.48550/arXiv.2406.05967 (2024)	The DOSA dataset is used to create a culturally-diverse multilingual visual question answering benchmark, emphasizing the role of local input in capturing diverse insights. It captures cultural artifacts through local collaboration, highlighting the importance of diverse perspectives in social artifacts. This dataset enables researchers to develop and evaluate models that better understand and represent cultural diversity.	
Indian Corpus	cited_context	Dravidian-CodeMix-FIRE 2020	https://www.semanticscholar.org/paper/ca0a072d666c43e2218ee11e6b81226a78d058f7 (2020)	https://www.semanticscholar.org/paper/16c9d493f59f05cebc57f87d14b4506e4350e28a (2020)	The Dravidian-CodeMix-FIRE 2020 dataset is used for sentiment analysis in Dravidian code-mixed social media texts. Researchers employ this dataset to enhance machine translation for under-resourced languages, focusing on improving the accuracy and effectiveness of sentiment analysis in multilingual contexts. This dataset enables the development and evaluation of models that can better handle the complexities of code-mixed data, thereby advancing natural language processing in these languages.	
Indian Corpus	cited_context	Dravidian-CodeMix-FIRE 2021	https://doi.org/10.18653/v1/2023.findings-emnlp.252 (2023)	https://doi.org/10.3390/BDCC3030037 (2019)	The Dravidian-CodeMix-FIRE 2021 dataset is primarily used to evaluate and improve the processing of code-mixed text, particularly focusing on Dravidian languages mixed with English. It is employed in sentiment analysis of Hinglish comments from YouTube, using semi-supervised approaches to understand viewer reactions. The dataset also supports the development and benchmarking of classifiers for multilingual text classification tasks, incorporating a wide range of Indian languages, including Manipuri, Sindhi, Sinhala, and Urdu. This enables researchers to assess performance across diverse linguistic contexts and enhance the understanding of mixed-language content.	
Indian Corpus	cited_context	EMILLE corpus	https://www.semanticscholar.org/paper/c5ccc4128f8746a765bdd4478f9b63893b5e6bb6 (2020), https://www.semanticscholar.org/paper/bd3d1ef6eaec411c103d0f7d13b054ba3700ccd5 (2014)	https://www.semanticscholar.org/paper/6569c9b81b7721fff588ee58c7607367045e9af0 (2003)	The EMILLE corpus is used to support minority language engineering, particularly for South Asian languages, by providing linguistic data for language processing and computational linguistics. It enhances named entity recognition in Indian languages and improves English-to-Hindi machine translation, especially in domain-specific contexts like agriculture, addressing terminological and contextual challenges.	
Indian Corpus	cited_context	EMILLE/CIIL corpus	https://www.semanticscholar.org/paper/7997d432925aff0ba05497d2893c09918298ca55 (2020)	https://www.semanticscholar.org/paper/aaabc925599c264966388d79b24a28d2c458ae79 (2000)	The EMILLE/CIIL corpus is used to build a comprehensive corpus for South Asian languages, focusing on linguistic diversity across 14 languages with 92 million words. This dataset enables researchers to analyze and document the rich linguistic landscape of South Asia, supporting studies in language documentation, linguistic variation, and corpus linguistics.	
Indian Corpus	cited_context | citing_context	e-newspaper data of Telugu	https://www.semanticscholar.org/paper/b4fc9183d76947e5467ed27fae9b80d8aca7b2c0 (2022)	https://doi.org/10.1007/978-981-10-5544-7_54 (2018)	The e-newspaper data of Telugu is used to train and evaluate text summarization models, specifically focusing on automatic keyword extraction in Telugu e-newspapers. This dataset helps improve the accuracy and relevance of generated summaries and keywords, making it valuable for enhancing natural language processing tasks in the Telugu language. The dataset's accessibility on Kaggle facilitates its use in these research areas.	
Indian Corpus	cited_context	English-Hindi dataset	https://doi.org/10.3115/1613692.1613697 (2006)	https://doi.org/10.3115/1119282.1119294 (2003)	The English-Hindi dataset is used to evaluate alignment error rates in machine translation. Researchers compare the performance of their proposed models against state-of-the-art models using this dataset. It enables the assessment of translation accuracy and alignment quality, providing a benchmark for model improvement and evaluation.	
Indian Corpus	cited_context	Europarl	https://doi.org/10.18653/v1/W15-3912 (2015)	https://www.semanticscholar.org/paper/694b3c58712deefb59502847ba1b52b192c413e5 (2005)	The Europarl dataset is used to provide parallel translation data for statistical machine translation, enabling the evaluation of translation quality across multiple language pairs. It supports multilingual applications, including those involving Indian languages, by facilitating the development and assessment of translation systems. This dataset's parallel nature is crucial for training and testing translation models.	
Indian Corpus	cited_context	Facebook Hindi word analogy dataset	https://www.semanticscholar.org/paper/7997d432925aff0ba05497d2893c09918298ca55 (2020)	https://www.semanticscholar.org/paper/0fe73c19513dfd17372d8ef58da0d0149725832c (2018)	The Facebook Hindi word analogy dataset is used to evaluate Hindi word embeddings by assessing their performance on semantic and syntactic analogies. Researchers employ this dataset to measure the quality and effectiveness of word embeddings, focusing on how well they capture linguistic relationships. This evaluation helps in refining embedding models and improving their applicability in natural language processing tasks.	
Indian Corpus	cited_context	fake news dataset	https://www.semanticscholar.org/paper/b5673532a3c39d7d8410f9e3d67b4a4a4ba26df4 (2020)	https://doi.org/10.1016/j.marpolbul.2018.01.042 (2018)	The fake news dataset is used to generate new annotated data in Urdu by translating the original English dataset. This process focuses on creating multilingual resources for fake news detection, enhancing the availability of annotated data in non-English languages. The dataset enables researchers to develop and test algorithms for identifying fake news in multilingual contexts, specifically addressing the need for robust fake news detection tools in Urdu.	
Indian Corpus	citing_context	FDMSE-ISL	https://doi.org/10.48550/arXiv.2407.14224 (2024)	https://doi.org/10.1109/ACCESS.2020.3028072 (2020)	The FDMSE-ISL dataset is used to test five different models for Indian sign language recognition using multi-modal data. This dataset enables researchers to evaluate model performance in recognizing signs from various modalities, contributing to the development of more accurate and robust sign language recognition systems.	
Indian Corpus	cited_context	FinalNepaliCorpus	https://doi.org/10.1145/3606696 (2023)	https://doi.org/10.5120/12217-8374 (2013)	The FinalNepaliCorpus dataset is used to develop a Support Vector Machine-based Part-of-Speech (POS) tagger for the Nepali language. It provides a dictionary of words and their corresponding parts of speech, enabling researchers to accurately tag text data. This methodology supports linguistic analysis and natural language processing tasks specific to Nepali.	
Indian Corpus	cited_context | citing_context	FIRE dataset	https://www.semanticscholar.org/paper/05a2c02a917c839e3d00b9bf2012ad6ef316fd52 (2023), https://doi.org/10.48550/arXiv.2312.09508 (2023)	https://doi.org/10.1145/3476415.3476418 (2021), https://www.semanticscholar.org/paper/43f2ad297941db230c089ba353efc3f281ab678c (2020)	The FIRE dataset is used to build reusable, open-source test collections for information retrieval, serving as benchmark datasets to evaluate retrieval systems. It is also utilized to train models on domain-specific text from newspaper articles, addressing the challenge of generalizing these models to other domains. This dataset enables researchers to assess and improve the performance of information retrieval systems in specific contexts.; The FIRE dataset is used to train models on domain-specific text from newspaper articles, focusing on the challenges of generalizing these models to other domains. This dataset enables researchers to explore and address issues related to model adaptability and domain specificity in natural language processing tasks.	
Indian Corpus	cited_context | citing_context	FIRE 2014 data	https://doi.org/10.48550/arXiv.2204.13743 (2022)	https://www.semanticscholar.org/paper/d294182e2b5b1a91eb2ce9b148d0b15f9becaa47 (2014)	The FIRE 2014 dataset is primarily used for Named Entity Recognition (NER) in multilingual contexts, specifically focusing on Hindi, Tamil, Malayalam, and English. It is employed to train and evaluate NER systems, enhancing cross-lingual performance and entity identification accuracy. The dataset supports research on multilingual and code-switched data, demonstrating promising results in Hindi-English code-switching with a 75.96% F1 score. Key entities include Person, Location, and Organization, which are crucial for improving information extraction systems.; The FIRE 2014 data is primarily used for Named Entity Recognition (NER) in multilingual settings, specifically focusing on Hindi, Tamil, Malayalam, and English. It is employed to train and evaluate NER systems, enhancing cross-lingual performance and entity identification accuracy. The dataset supports supervised learning methods and evaluates performance metrics like F1 scores, particularly in Hindi-English code-switched data, achieving notable results.	FIRE 2014
Indian Corpus	cited_context	FIRE 2014 workshop for NER	https://www.semanticscholar.org/paper/d938d15e64f8a1d9ca2935faeb36b9ecdcefbfc8 (2020)	https://doi.org/10.1145/3238797 (2018)	The FIRE 2014 workshop for NER dataset is used to train and evaluate Named Entity Recognition (NER) models for five Indian languages: Hindi, Tamil, Bengali, Malayalam, and Marathi. It focuses on enhancing tagging performance in low-resource settings, employing methodologies that address the challenges of limited annotated data. This dataset enables researchers to develop and test NER systems that can accurately identify named entities in these languages, contributing to advancements in multilingual NLP.	
Indian Corpus	cited_context | citing_context	FIRE-2015	https://doi.org/10.3390/bdcc4010003 (2020), https://doi.org/10.1007/978-3-319-73606-8_3 (2016)	https://doi.org/10.1109/ICACCI.2016.7732099 (2016), https://doi.org/10.1145/2600428.2609622 (2014)	The FIRE 2015 dataset is used for sentiment analysis tasks on mixed script Indic languages. Researchers focus on evaluating the effectiveness of sentiment analysis models, employing methodologies that assess model performance on these specific linguistic challenges. This dataset enables detailed analysis of sentiment in multilingual contexts, providing insights into the nuances of mixed script processing and model accuracy.; The FIRE-2015 dataset is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit information on its application, methodology, research questions, or specific characteristics. Therefore, based on the provided evidence, it cannot be accurately described how this dataset is used in research.	FIRE 2015
Indian Corpus	cited_context	FIRE-2015 Mixed Script Information Retrieval	https://www.semanticscholar.org/paper/5bb962568be873c59217f01c4ad8e072f9cfa3fc (2018)	https://doi.org/10.1007/978-3-319-26832-3_61 (2015)	The FIRE-2015 Mixed Script Information Retrieval dataset is used to evaluate information retrieval systems for code-mixed Indian languages, including Bengali, Hindi, Tamil, and others mixed with English. It supports research into multilingual and mixed-script processing, focusing on system performance in understanding and classifying sentiments in social media data like tweets.	
Indian Corpus	cited_context	FIRE-2016 MSIR	https://doi.org/10.1145/3574318.3574328 (2022)	https://doi.org/10.1007/978-3-319-73606-8_3 (2016)	The FIRE-2016 MSIR dataset is used for hate speech and offensive content identification in English and Indo-Aryan languages, enhancing detection accuracy. It is also employed for mixed script information retrieval tasks, facilitating cross-script search and retrieval in multilingual environments. This dataset supports research in improving the effectiveness of content moderation and multilingual information access systems.	
Indian Corpus	cited_context	FIRE-2022	https://www.semanticscholar.org/paper/12a5c581814d9f0163b686f075386715789af492 (2022)	https://www.semanticscholar.org/paper/693e0ff7b621e4d6d7a5e1738be13021214248ca (2022)	The FIRE-2022 dataset is used to examine and validate summarization approaches in Indian languages, particularly Hindi, English, and Gujarati. It provides datasets for the ILSUM-2022 shared task, focusing on the challenges and methodologies in Indian language summarization. Researchers use this dataset to test and evaluate summarization models, assessing their performance across various Indian languages and addressing specific summarization challenges.	
Indian Corpus	citing_context	FIRE 2022 ILSUM Track	https://www.semanticscholar.org/paper/05a2c02a917c839e3d00b9bf2012ad6ef316fd52 (2023)	https://doi.org/10.18653/v1/P16-3015 (2019)	The FIRE 2022 ILSUM Track dataset is used to develop automatic summarization systems for resource-poor Indian languages, addressing the lack of available resources. Researchers employ this dataset to create and evaluate summarization models, focusing on improving the generation of concise and coherent summaries in under-resourced linguistic contexts. This dataset enables the advancement of natural language processing techniques specifically tailored for Indian languages.	
Indian Corpus	citing_context	Flickscore	https://doi.org/10.1109/TCE.2023.3324009 (2024)	https://www.semanticscholar.org/paper/a456a694a9efeee8984542c66650def1c9fd696a (2018)	The Flickscore dataset is used to build a classification-based movie recommendation system for Indian regional Hindi language movies. It focuses on user ratings and movie attributes to enhance recommendation accuracy. This dataset enables researchers to develop and test algorithms that improve personalized movie recommendations, specifically tailored to the preferences of Hindi-speaking audiences.	
Indian Corpus	cited_context	FLORES	https://doi.org/10.18653/v1/2021.emnlp-main.699 (2021)	https://www.semanticscholar.org/paper/a70fd36953d654cd585046c43815fa9ce5187172 (2020)	The FLORES dataset is primarily used for evaluating machine translation systems in low-resource settings, particularly for Nepali-English and Sinhala-English translations. It is also employed to assess multilingual task-oriented semantic parsing, cross-lingual transfer performance, and cross-lingual generalization in natural language understanding tasks. These evaluations focus on robustness and performance across multiple languages, including some Indian languages, enhancing the reliability of NLP models in diverse linguistic contexts.	
Indian Corpus	cited_context	FLORES101/200	https://doi.org/10.18653/v1/2023.acl-long.693 (2022)	https://doi.org/10.1162/tacl_a_00474 (2021)	The FLORES101/200 dataset is used to evaluate the retrieval capabilities of models, particularly focusing on the Indic parts to assess multilingual machine translation performance. It enables researchers to test and improve the accuracy of translations involving Indian languages, providing a benchmark for model performance in multilingual contexts.	
Indian Corpus	citing_context	Flores-200	https://doi.org/10.18653/v1/2024.naacl-long.425 (2024)	https://www.semanticscholar.org/paper/81ed0e757ae2d66a43d73407ad6f7e0359adf6d7 (2020)	The Flores-200 dataset is primarily used for evaluating the performance of machine translation and sentiment analysis models in Indian languages. It provides parallel corpora for 12 to 24 Indian languages, enabling researchers to assess Google Translate's accuracy and the BLEU scores of both Google-translated and human-translated datasets. The dataset is also utilized for training and evaluating sentiment analysis models, focusing on the correctness and preservation of sentiment in translated text. Specific methodologies include comparing manual and automated translations, tabulating translation statistics, and benchmarking model performance on sentiment analysis tasks.	
Indian Corpus	cited_context	FM-IQA	https://doi.org/10.48550/arXiv.2406.05967 (2024)	https://doi.org/10.18653/v1/2020.aacl-main.90 (2020)	The FM-IQA dataset is used to benchmark and evaluate multilingual visual question answering and reasoning, focusing on the system's ability to integrate and understand textual and visual information across different languages. It is applied to assess cross-lingual performance, handle questions in multiple languages, and study multilingual and code-mixed visual question answering, emphasizing cross-lingual and cross-cultural understanding.	
Indian Corpus	cited_context	dataset for aspect based sentiment analysis (ABSA) in Hindi	https://www.semanticscholar.org/paper/8ffefa0acd2d23e9a3b8315aea0aa6d7a3292205 (2016)	https://doi.org/10.3115/v1/S14-2004 (2014)	The dataset for aspect-based sentiment analysis (ABSA) in Hindi is used to train and evaluate models that identify and classify sentiments towards specific aspects of entities. This involves methodologies focused on sentiment extraction and classification, enabling researchers to address questions related to the nuanced understanding of opinions in Hindi text. The dataset's relevance lies in its application to Indian language research, specifically enhancing the accuracy and reliability of ABSA models in Hindi.	
Indian Corpus	cited_context	FT-WC	https://doi.org/10.18653/v1/2023.findings-emnlp.252 (2023)	https://www.semanticscholar.org/paper/0fe73c19513dfd17372d8ef58da0d0149725832c (2018)	The FT-WC dataset is used to evaluate and compare pre-trained word embeddings, specifically those from the IndicNLPSuite and Wiki+CommonCrawl, against the authors' IndiSocialFT embeddings. Research focuses on performance in the native script setting, assessing embedding quality and effectiveness in Indian languages. This dataset enables direct comparison and benchmarking of different embedding models, facilitating advancements in natural language processing for Indian languages.	
Indian Corpus	cited_context	Gujarati (Google, 2019a)	https://www.semanticscholar.org/paper/c5ccc4128f8746a765bdd4478f9b63893b5e6bb6 (2020)		The Gujarati (Google, 2019a) dataset is used to develop and evaluate natural language processing (NLP) models for various Indian languages, including Gujarati. It focuses on addressing language-specific challenges and resource availability. The dataset enables researchers to train and test NLP models, enhancing their performance and adaptability to the unique linguistic features of these languages.	
Indian Corpus	cited_context	GupShup	https://doi.org/10.48550/arXiv.2211.07514 (2022)	https://doi.org/10.18653/v1/2021.eacl-main.87 (2021)	The GupShup dataset is used to develop and test Hinglish conversation summarization systems, focusing on natural language processing in mixed-language contexts. It is also employed alongside TOPv2 to evaluate the effectiveness of code-switching in task-oriented semantic parsing, demonstrating significant gains in exact match accuracy. This dataset enables research by providing a rich resource for testing and improving systems that handle linguistic diversity and code-switching.	
Indian Corpus	citing_context	Hand gestures for emergency situations	https://doi.org/10.1007/s13369-022-06843-0 (2022)	https://doi.org/10.1016/j.dib.2020.106016 (2020)	The 'Hand gestures for emergency situations' dataset is used to study dynamic hand gestures in Indian sign language, specifically focusing on video data of emergency-related words. Researchers employ this dataset to enhance the understanding and recognition of these gestures, using video analysis methods to improve communication in emergency scenarios. The dataset's video format and focus on specific emergency terms enable detailed gesture recognition studies.	
Indian Corpus	cited_context	HASOC 2020	https://www.semanticscholar.org/paper/71f727f5c3efbed6aefecff4660ebf76d48efbae (2021)	https://www.semanticscholar.org/paper/1034b822874263b1fd7388cab447253362b95c73 (2020)	The HASOC 2020 dataset is used to identify trends in offensive language in Dravidian languages, particularly focusing on code-mixed data. Researchers employ this dataset to evaluate models designed to detect offensive content. The dataset's code-mixed characteristic is crucial for assessing model performance in multilingual contexts. This enables more nuanced understanding and improvement of offensive language detection systems in Dravidian languages.	
Indian Corpus	citing_context	HASOC Hindi	https://doi.org/10.1109/GCON58516.2023.10183497 (2023)	https://www.semanticscholar.org/paper/34d652c3dd30a09a5db3205a2aa2a3fccb35cf8a (2022)	The HASOC Hindi dataset is used to evaluate and compare mono and multilingual transformer models in hate speech detection. Research focuses on model performance and cross-language evaluation, leveraging the dataset's annotated content to assess effectiveness in identifying hate speech across different languages. This enables researchers to understand the strengths and limitations of multilingual models in handling hate speech in Hindi.	
Indian Corpus	cited_context	Hateful speech detection in public facebook pages for the bengali language	https://doi.org/10.1007/978-981-16-0586-4_37 (2020)	https://doi.org/10.1109/ICMLA.2019.00104 (2019)	The dataset is used to detect various forms of harmful speech in Bengali social media, including hate speech, toxicity, and abusive language. Researchers annotate and classify texts into multiple categories (ranging from 5 to 7 classes) to evaluate supervised models and deep learning methods. The dataset's size (4,700 to 10,219 samples) and diverse classification schemes enable robust performance comparisons across different datasets and methodologies, addressing the challenge of insufficient data in this domain.	
Indian Corpus	cited_context	Hate Speech detection in the Bengali language: A dataset and its baseline evaluation	https://doi.org/10.1007/978-981-16-0586-4_37 (2020)	https://doi.org/10.1109/ICISET.2018.8745565 (2018)	The dataset is used to detect hate speech in the Bengali language, particularly focusing on abusive comments in social media. It contains 30,000 annotated samples, which enable researchers to evaluate baseline models using deep learning techniques. Additionally, the dataset has been utilized to translate an English hate speech dataset into Bengali, enhancing the study of linguistic features and improving model performance.	
Indian Corpus	citing_context	hate speech in Hindi language dataset	https://doi.org/10.48550/arXiv.2311.09086 (2023)	https://doi.org/10.1145/3441501.3441517 (2020)	The hate speech in Hindi language dataset is used to identify and classify hate speech and offensive content in Hindi, primarily sourced from Twitter. It consists of 5,000 to 6,000 posts and focuses on the linguistic and contextual aspects of hate speech. Research methodologies include classification and detection techniques, enabling studies to analyze the nuances and patterns of offensive language in social media contexts.	
Indian Corpus	citing_context	Hellwig’s SanskritTagger corpus	https://doi.org/10.1109/ICICT57646.2023.10134024 (2023)	https://doi.org/10.1007/978-3-642-00155-0_11 (2009)	The Hellwig’s SanskritTagger corpus is used for training and re-analyzing sentences to achieve gold-standard accuracy in lexical and part-of-speech (POS) tagging for Sanskrit. This dataset enables researchers to focus on improving the precision of tagging algorithms, enhancing the accuracy of linguistic analyses in Sanskrit texts. Its specific characteristics, such as annotated lexical and POS data, facilitate robust training and evaluation of tagging models.	
Indian Corpus	cited_context	HH-RLHF-T RANSLATED	https://doi.org/10.18653/v1/2024.acl-long.843 (2024)	https://doi.org/10.48550/arXiv.2204.05862 (2022)	The HH-RLHF-T RANSLATED dataset is used to translate and transliterate toxic prompts and non-toxic answers into 14 Indian languages. It focuses on reinforcing helpful and harmless responses in multilingual settings, employing methodologies that ensure the translation maintains the intent and tone of the original content. This dataset enables research on improving the safety and effectiveness of AI models in diverse linguistic environments.	
Indian Corpus	cited_context	HindEnCorp	https://doi.org/10.3115/v1/W14-3309 (2014)	https://www.semanticscholar.org/paper/bd3d1ef6eaec411c103d0f7d13b054ba3700ccd5 (2014)	The HindEnCorp dataset is used to train phrase translation tables for enhancing machine translation performance, specifically for the Hindi-English and Urdu-English language pairs. This involves using the dataset to improve the quality of translations between these Indian languages and English. The dataset's focus on these language pairs enables researchers to address specific challenges in translating Indian languages, thereby improving overall translation accuracy and fluency.	
